name,address1,cate_gories
Pocha 32,"15 W 32nd St, New York, NY, 10001","Bars, Korean, Gastropubs"
VEZZO NYCThinCrust Pizza,"178 Lexington Ave, New York, NY, 10016","Pizza, Italian, Sandwiches"
Twinz Hot Chicken,"2828 John F Kennedy Blvd, Jersey City, NJ, 07306",Chicken Shop
Beauty Bar,"231 E 14th St, New York, NY, 10003","Bars, Dance Clubs"
El Castillo de Jagua,"679 Flatbush Ave, Brooklyn, NY, 11225","Spanish, Dominican"
White Bear,"135-02 Roosevelt Ave, Flushing, NY, 11354",Chinese
Munchinette,"1738 Sheepshead Bay Rd, Brooklyn, NY, 11235","Sandwiches, American (New)"
IHOP,"235 E 14th St, New York, NY, 10003","Breakfast & Brunch, American (Traditional), Burgers"
Sugarcane,"238 Flatbush Ave, Brooklyn, NY, 11217",Caribbean
Hardware Bar,"697 10th Ave, New York, NY, 10036",Gay Bars
White Mana Diner,"470 Tonnele Ave, Jersey City, NJ, 07307","Burgers, Diners, Fast Food"
Bayside Chicken Lovers,"215-09 Northern Blvd, Bayside, NY, 11361","American (Traditional), Barbeque, Chicken Shop"
Coney Shack,"100 Pearl St, New York, NY, 10004",Food Trucks
FreshDirect Wine & Spirits,"620 5th Ave, Brooklyn, NY, 11215","Beer, Wine & Spirits, Food Delivery Services"
Di Fara Pizza,"1424 Ave J, Brooklyn, NY, 11230",Pizza
bOb Bar,"247 Eldridge St, New York, NY, 10002",Lounges
Devin's Fish & Chips,"747 Saint Nicholas Ave, New York, NY, 10031",Fish & Chips
Chirping Chicken,"355 Amsterdam Ave, New York, NY, 10024","American (Traditional), Chicken Wings"
Hill Country Barbecue Market,"30 W 26th St, New York, NY, 10010","Barbeque, Southern, Bars"
Pio Pio 3,"1746 First Ave, New York, NY, 10128","Latin American, Peruvian"
Sea,"114 N 6th St, Brooklyn, NY, 11211","Thai, Cocktail Bars"
Luke's Lobster Upper West Side,"426 Amsterdam Ave, New York, NY, 10024","Seafood, Soup, Sandwiches"
Ace Bar,"531 E 5th St, New York, NY, 10009","Bars, Arcades, Pool Halls"
Double Down Saloon,"14 Ave A, New York, NY, 10009",Dive Bars
Bed-Stuy Fish Fry,"801 Halsey St, Brooklyn, NY, 11233",Seafood
The Kunjip,"32 W 32nd St, New York, NY, 10001","Korean, Barbeque, Seafood"
