Name,Address,PlaceType
,Atlanta,night club
,Atlanta,night club
Vision Restaurant & Lounge,"Vision Restaurant & Lounge 2520 Piedmont Road Northeast Atlanta, GA 30324 United States",
Elleven45 Lounge,"Elleven45 Lounge 2110 Peachtreet Street Northwest Atlanta, GA 30309 United States",
,Atlanta,
REVEL ATLANTA,"REVEL ATLANTA 1778 Ellsworth Industrial Boulevard Northwest Atlanta, GA 30318 United States",Night club
REVEL ATLANTA,"REVEL ATLANTA 1778 Ellsworth Industrial Boulevard Northwest Atlanta, GA 30318 United States",Night club
Revel,"Revel 1778 Ellsworth Industrial Boulevard Northwest Atlanta, GA 30318 United States",Night club
,Atlanta,Night club
,Atlanta,Night club
,Atlanta,Night club
The Legendary Ford Hall,"The Legendary Ford Hall 3418 Dogwood Drive Hapeville, GA 30354 United States",Event venue
Vision Restaurant & Lounge,"Vision Restaurant & Lounge 2520 Piedmont Road Northeast Atlanta, GA 30324 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Centennial Olympic Park Drive,"Centennial Olympic Park Drive Centennial Olympic Park Drive Atlanta, GA 30313 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Registration: Coming soon!,"Registration: Coming soon! Buckhead Bars Check in 5pm-7pm Atlanta, GA 30305 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Omni Hotel at the Battery Atlanta,"Omni Hotel at the Battery Atlanta 2625 Circle 75 Parkway Southeast Atlanta, GA 30339 United States",Hotel
,Atlanta,Hotel
Anthem on Ashley Apartments,"Anthem on Ashley Apartments 720 Ralph McGill Boulevard Northeast Atlanta, GA 30312 United States",Apartment rental agency
,Atlanta,Apartment rental agency
,Atlanta,
,Atlanta,Apartment rental agency
Mercedes Benz Stadium MARSHALLING YARD LOT,"Mercedes Benz Stadium MARSHALLING YARD LOT Magnum St NW Atlanta, GA 30318 United States",
,Atlanta,
,Atlanta,
,Atlanta,
The Social House - Joy's Cafe,"The Social House - Joy's Cafe 314 Auburn Ave NE Atlanta, GA 30303 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Atlanta (Various Venues),"Atlanta (Various Venues) BEST BARS IN ATLANTA atlanta, GA 30342 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Second Self Beer Co.,"Second Self Beer Co. 1317 Logan Cir NW Atlanta, GA 30318 United States",Brewery
,Atlanta,Brewery
,Atlanta,Brewery
Atlanta,"Atlanta ATL NIGHTLIFE Atlanta, GA 30305 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Guac y Margys,"Guac y Margys 1115 Howell Mill NW Rd #Suite A Atlanta, GA 30318 United States",
,Atlanta,
,Atlanta,
,Atlanta,
3050 M.L.K. Jr Dr SW,"3050 M.L.K. Jr Dr SW 3050 Martin Luther King Junior Drive Southwest Atlanta, GA 30311 United States",
,Atlanta,
,Atlanta,
Del Frisco's Grille,"Del Frisco's Grille 3376 Peachtree Road Northeast Atlanta, GA 30326 United States",Steak house
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
