Name,Address,PlaceType
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
,Atlanta,Steak house
The Veranda at Buckhead Village District,"The Veranda at Buckhead Village District 3035 Peachtree Road Atlanta, GA 30305 United States",Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
Cafe Circa,"Cafe Circa 464 Edgewood Avenue Southeast Atlanta, GA 30312 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Apache xlr,"Apache xlr 393 Marietta Street NorthWest Atlanta, GA 30313 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Grant Park Social,"Grant Park Social 790 Glenwood Avenue Southeast #Suite 250 Atlanta, GA 30316 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Waldorf Astoria Atlanta Buckhead,"Waldorf Astoria Atlanta Buckhead 3376 Peachtree Road Northeast Atlanta, GA 30326 United States",Hotel
,Atlanta,Hotel
Floataway Cafe,"Floataway Cafe 1123 Zonolite Rd NE #15 Atlanta, GA 30306 United States",French restaurant
,Atlanta,French restaurant
eComplex ATL,"eComplex ATL 3400 West Hospital Avenue Atlanta, GA 30341 United States",Video production service
,Atlanta,Video production service
,Atlanta,Video production service
,Atlanta,
,Atlanta,Video production service
,Atlanta,Video production service
,Atlanta,Video production service
,Atlanta,Video production service
,Atlanta,Video production service
1434 Pollard Dr SW,"1434 Pollard Dr SW 1434 Pollard Drive Southwest Atlanta, GA 30311 United States",Pediatric ophthalmologist
,Atlanta,Pediatric ophthalmologist
Guac y Margys,"Guac y Margys 1115 Howell Mill NW Rd Atlanta, GA 30318 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
199 Walker St SW,"199 Walker St SW 199 Walker Street Southwest Atlanta, GA 30313 United States",Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
,Atlanta,Condominium complex
Buena Vida Tapas & Sol,"Buena Vida Tapas & Sol 385 North Angier Avenue Northeast #Suite 100 Atlanta, GA 30308 United States",Spanish restaurant
,Atlanta,Spanish restaurant
,Atlanta,Spanish restaurant
,Atlanta,Spanish restaurant
,Atlanta,Spanish restaurant
,Atlanta,Spanish restaurant
,Atlanta,Spanish restaurant
Maggiano's Little Italy,"Maggiano's Little Italy 3368 Peachtree Road Atlanta, GA 30326 United States",Italian restaurant
,Atlanta,Italian restaurant
,Atlanta,Italian restaurant
,Atlanta,Italian restaurant
Paradise Atlanta,"Paradise Atlanta 383 Marietta Street NorthWest Atlanta, GA 30313 United States",Event venue
,Atlanta,Event venue
,Atlanta,Event venue
,Atlanta,Event venue
Del Frisco's Double Eagle Steakhouse,"Del Frisco's Double Eagle Steakhouse 236 Perimeter Center Parkway Northeast #Suite 120 Dunwoody, GA 30346 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
The Veranda at Buckhead Village District,"The Veranda at Buckhead Village District 3035 Peachtree Road Atlanta, GA 30305 United States",Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
,Atlanta,Shopping mall
451 Bishop St NW suite b,"451 Bishop St NW suite b 451 Bishop Street Northwest #suite b Atlanta, GA 30318 United States",
,Atlanta,
Divan Restaurant,"Divan Restaurant 87 15th St NE Atlanta, GA 30309 United States",Persian restaurant
Divan Restaurant,"Divan Restaurant 87 15th St NE Atlanta, GA 30309 United States",Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
,Atlanta,Persian restaurant
Floataway Cafe,"Floataway Cafe 1123 Zonolite Road Northeast ##15 Atlanta, GA 30306 United States",French restaurant
,Atlanta,French restaurant
,Atlanta,French restaurant
The Tasting Den/The Reserve List,"The Tasting Den/The Reserve List 6690 Roswell Rd. Sandy Springs, 30328 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
2110 Peachtree Rd NW,"2110 Peachtree Rd NW 2110 Peachtree Road Northwest Atlanta, GA 30309 United States",
Elleven45 Lounge,"Elleven45 Lounge 2110 Peachtree Road Northwest Atlanta, GA 30309 United States",
Sidebar,"Sidebar 79 Poplar Street Northwest Atlanta, GA 30303 United States",Bar
,Atlanta,Bar
THE BUSINESS LOUNGE,"THE BUSINESS LOUNGE 4035 Jonesboro Road suite 240 Forest Park, GA 30297 United States",
,Atlanta,
,Atlanta,
,Atlanta,
Buena Vida Tapas & Sol,"Buena Vida Tapas & Sol 385 North Angier Avenue Northeast #Suite 100 Atlanta, GA 30308 United States",Spanish restaurant
,Atlanta,Spanish restaurant
,Atlanta,Spanish restaurant
DoubleTree by Hilton Hotel Atlanta Airport,"DoubleTree by Hilton Hotel Atlanta Airport 3400 Norman Berry Drive Atlanta, GA 30344 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Waldorf Astoria Atlanta Buckhead,"Waldorf Astoria Atlanta Buckhead 3376 Peachtree Road Northeast Atlanta, GA 30326 United States",Hotel
,Atlanta,Hotel
The Wing Cafe and Tap House,"The Wing Cafe and Tap House 2145 Roswell Rd Marietta, GA 30062 United States",
2Xtra Events,"2Xtra Events 5076 Winters Chapel Road Suite 300 Atlanta, GA 30360 United States",
,Atlanta,
,Atlanta,
6021 Maddox Rd,"6021 Maddox Rd 6021 Maddox Road Morrow, GA 30260 United States",
,Atlanta,
G's Midtown,"G's Midtown 219 10th Street Northeast Atlanta, GA 30309 United States",Gastropub
,Atlanta,Gastropub
McCormick & Schmick's - Atlanta,"McCormick & Schmick's - Atlanta 190 Marietta Street NorthWest Atlanta, GA 30303 United States",Fine dining restaurant
,Atlanta,Fine dining restaurant
Atlantic Station,"Atlantic Station 241 20th St. NW Atlanta, GA 30363 United States",
Elleven45 Lounge,"Elleven45 Lounge 2110 Peachtree Road Northwest Atlanta, GA 30309 United States",
,Atlanta,
Atlanta (Various Venues),"Atlanta (Various Venues) BEST BARS IN ATLANTA atlanta, GA 30342 United States",
,Atlanta,
Atlanta (Various Venues),"Atlanta (Various Venues) BEST BARS IN ATLANTA atlanta, GA 30342 United States",
5Church Midtown,"5Church Midtown 1197 Peachtree Street Northeast ##528 Atlanta, GA 30361 United States",New American restaurant
Atlanta (Various Venues),"Atlanta (Various Venues) BEST BARS IN ATLANTA atlanta, GA 30342 United States",
Atlanta (Various Venues),"Atlanta (Various Venues) BEST BARS IN ATLANTA atlanta, GA 30342 United States",
,Atlanta,
,Atlanta,
,Atlanta,
The Club House,"The Club House 1745 Gallup Drive Stockbridge, GA 30281 United States",
REVEL ATLANTA,"REVEL ATLANTA 1778 Ellsworth Industrial Boulevard Northwest Atlanta, GA 30318 United States",Night club
Atlanta (Various Venues),"Atlanta (Various Venues) BEST BARS IN ATLANTA atlanta, GA 30342 United States",
,Atlanta,
,Atlanta,
,Atlanta,
Suite Food Lounge,"Suite Food Lounge 375 Luckie Street Northwest Atlanta, GA 30313 United States",Restaurant
,Atlanta,Restaurant
,Atlanta,Restaurant
737 Veterans Pkwy,"737 Veterans Pkwy 737 Veterans Parkway Jonesboro, GA 30238 United States",Medical Center
,Atlanta,Medical Center
,Atlanta,Medical Center
,Atlanta,Medical Center
,Atlanta,Medical Center
,Atlanta,Medical Center
,Atlanta,Medical Center
,Atlanta,Medical Center
,Atlanta,Medical Center
,Atlanta,Medical Center
8010 Rockbridge Rd,"8010 Rockbridge Rd 8010 Rockbridge Road Lithonia, GA 30058 United States",Hotel
,Atlanta,Hotel
Lobster HQ,"Lobster HQ 2435 S. Stone Mountain Lithonia Rd Lithonia, GA 30058 United States",Seafood restaurant
,Atlanta,Seafood restaurant
7992 Rockbridge Rd SW,"7992 Rockbridge Rd SW 7992 Rockbridge Road Southwest Lithonia, GA 30058 United States",
,Atlanta,
,Atlanta,
,Atlanta,
Barleygarden Kitchen & Craft Bar,"Barleygarden Kitchen & Craft Bar 240 Trilith Parkway Fayetteville, GA 30310 United States",
The Vine Cafe & Market,"The Vine Cafe & Market 12375 Veterans Memorial Highway Douglasville, GA 30134 United States",American restaurant
,Atlanta,American restaurant
,Atlanta,American restaurant
,Atlanta,American restaurant
,Atlanta,American restaurant
,Atlanta,American restaurant
,Atlanta,American restaurant
Maggiano's Little Italy,"Maggiano's Little Italy 3368 Peachtree Road Atlanta, GA 30326 United States",Italian restaurant
,Atlanta,Italian restaurant
,Atlanta,Italian restaurant
Le Ma'son Venue,"Le Ma'son Venue 3541 Stone Mountain Highway #7 Snellville, GA 30078 United States",
The Tasting Den/The Reserve List,"The Tasting Den/The Reserve List 6690 Roswell Rd. Sandy Springs, 30328 United States",
,Atlanta,
,Atlanta,
Diamond Events Hall,"Diamond Events Hall 1177 Bellemeade Drive Southwest Marietta, GA 30008 United States",Event venue
,Atlanta,Event venue
,Atlanta,Event venue
,Atlanta,Event venue
,Atlanta,Event venue
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
,Atlanta,
,Atlanta,
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
,Atlanta,
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
,Atlanta,
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
9550 Main Street Woodstock GA 30188 suite 100,"9550 Main Street Woodstock GA 30188 suite 100 9550 Main Street Woodstock GA 30188 suite 100 Woodstock, GA 30188 United States",
,Atlanta,Extended stay hotel
1240 Hwy 54 W,"1240 Hwy 54 W 1240 Highway 54 West Suite 706 Fayetteville, GA 30214 United States",
1098 Herrington Rd,"1098 Herrington Rd 1098 Herrington Road Lawrenceville, GA 30044 United States",International airport
Johnny's New York Style Pizza,"Johnny's New York Style Pizza 3940 Cherokee St NW Suite 104 Kennesaw, GA 30114 United States",
,Atlanta,
2236 Hewatt Rd,"2236 Hewatt Rd 2236 Hewatt Road Snellville, GA 30039 United States",American restaurant
Brightmoor Healthcare Amphitheater,"Brightmoor Healthcare Amphitheater Southern Ground Parkway Fayetteville, GA 30215 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
9550 Main Street Woodstock GA 30188 suite 100,"9550 Main Street Woodstock GA 30188 suite 100 9550 Main Street Woodstock GA 30188 suite 100 Woodstock, GA 30188 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
,Atlanta,
,Atlanta,
Bravo! Venue,"Bravo! Venue 4120 Chattahoochee Trace #Suite C Duluth, GA 30097 United States",Event venue
,Atlanta,Event venue
,Atlanta,Event venue
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
LEANING LADDER,"LEANING LADDER 105 East Main Street Woodstock, GA 30188 United States",
,Atlanta,
LEANING LADDER,"LEANING LADDER 105 East Main Street Woodstock, GA 30188 United States",
,Atlanta,
,Atlanta,
,Atlanta,
LEANING LADDER,"LEANING LADDER 105 East Main Street Woodstock, GA 30188 United States",
,Atlanta,
,Atlanta,
TBD,"TBD TBD Atlanta, GA 30318 United States",
Drawbar,"Drawbar 1 Interlock Avenue Northwest Atlanta, GA 30318 United States",Bar
LEANING LADDER,"LEANING LADDER 105 East Main Street Woodstock, GA 30188 United States",
The Gifted Ferret,"The Gifted Ferret 1910 Eagle Drive #STE 400 Woodstock, GA 30189 United States",Boutique
The Gifted Ferret,"The Gifted Ferret 1910 Eagle Drive #STE 400 Woodstock, GA 30189 United States",Boutique
,Atlanta,Boutique
,Atlanta,Boutique
The Gifted Ferret,"The Gifted Ferret 1910 Eagle Drive #STE 400 Woodstock, GA 30189 United States",Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,Boutique
,Atlanta,
,Atlanta,Boutique
Pheasant Blue,"Pheasant Blue 8000 Capps Ferry Road Douglasville, GA 30135 United States",Fine dining restaurant
,Atlanta,Fine dining restaurant
,Atlanta,Fine dining restaurant
,Atlanta,Fine dining restaurant
Monkey Wrench Brewing,"Monkey Wrench Brewing 3425 Martin Farm Rd Suwanee, GA 30024 United States",Brewery
,Atlanta,Brewery
,Atlanta,Brewery
Averly Apartments,"Averly Apartments 100 Chaselake Drive Jonesboro, GA 30236 United States",Furnished apartment building
2301 Holcomb Bridge Rd,"2301 Holcomb Bridge Rd 2301 Holcomb Bridge Road Roswell, GA 30076 United States",
Publix Aprons Cooking School at Alpharetta Commons,"Publix Aprons Cooking School at Alpharetta Commons 4305 State Bridge Road Alpharetta, GA 30022 United States",
Spaceman,"Spaceman 3301 Lenox Parkway Atlanta, GA 30326 United States",
,Atlanta,
Created Noble,"Created Noble 381 Edgewood Ave SE Atlanta, GA 30312 United States",Clothing store
,Atlanta,Clothing store
,Atlanta,Clothing store
2301 Holcomb Bridge Rd,"2301 Holcomb Bridge Rd 2301 Holcomb Bridge Road Roswell, GA 30076 United States",
Cosmo's Pizza & Social,"Cosmo's Pizza & Social 144 East Crogan Street Lawrenceville, GA 30046 United States",
,Atlanta,
Story on the Square,"Story on the Square 19 Griffin Street McDonough, GA 30253 United States",Apartment building
,Atlanta,Shopping mall
,Atlanta,Shopping mall
Cosmo's Pizza & Social,"Cosmo's Pizza & Social 144 East Crogan Street Lawrenceville, GA 30046 United States",
,Atlanta,
,Atlanta,
,Atlanta,
Tito's Lounge,"Tito's Lounge 6668 West Broad Street Douglasville, GA 30134 United States",American restaurant
Bay Creek Park,"Bay Creek Park 175 Ozora Road Loganville, GA 30052 United States",
,Atlanta,
,Atlanta,
,Atlanta,
LEANING LADDER,"LEANING LADDER 105 East Main Street Woodstock, GA 30188 United States",
Historic Downtown Canton,"Historic Downtown Canton 130 East Main Street Canton, GA 30114 United States",Park
,Atlanta,Park
,Atlanta,Park
Musulyn’s International Restaurant,"Musulyn’s International Restaurant 6129 U.S. 278 Covington, GA 30014 United States",night club
University of West Georgia Newnan,"University of West Georgia Newnan 80 Jackson Street Newnan, GA 30263 United States",University
1370 N McDonough Rd,"1370 N McDonough Rd 1370 North McDonough Road Griffin, GA 30223 United States",Hotel
Old Moreland Mill,"Old Moreland Mill 7 Main Street Moreland, GA 30259 United States",
Tabernacle Baptist Church,"Tabernacle Baptist Church 150 Tabernacle Drive Carrollton, GA 30117 United States",Baptist church
,Atlanta,Baptist church
,Atlanta,Baptist church
,Atlanta,Baptist church
Atlanta Bread Dawsonville,"Atlanta Bread Dawsonville 12 Dawson Market Way #280 Dawsonville, GA 30534 United States",Cafe
Atlanta Bread Dawsonville,"Atlanta Bread Dawsonville 12 Dawson Market Way #280 Dawsonville, GA 30534 United States",Cafe
,Atlanta,Cafe
High Falls State Park,"High Falls State Park 76 High Falls Park Drive Shelter # 2 Jackson, GA 30233 United States",State park
,Atlanta,State park
,Atlanta,State park
,Atlanta,State park
Revival Hall Taproom,"Revival Hall Taproom 16 South Public Square Jefferson, GA 30549 United States",
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
,Atlanta,
Canopy + the Roots Coffee,"Canopy + the Roots Coffee 53 West Main Street Dahlonega, GA 30533 United States",
Hendershot's,"Hendershot's 237 Prince Avenue Athens, GA 30601 United States",Coffee shop
,Atlanta,Coffee shop
Canopy + the Roots Coffee,"Canopy + the Roots Coffee 53 West Main Street Dahlonega, GA 30533 United States",
,Atlanta,
,Atlanta,
Athens,"Athens BEST BARS IN ATHENS Athens, GA 30601 United States",
,Atlanta,
Athens (Various Venues),"Athens (Various Venues) BEST BARS IN ATHENS Athens, GA 30601 United States",
Athens (Various Venues),"Athens (Various Venues) BEST BARS IN ATHENS Athens, GA 30601 United States",
Athens (Various Venues),"Athens (Various Venues) BEST BARS IN ATHENS Athens, GA 30601 United States",
Athens (Various Venues),"Athens (Various Venues) BEST BARS IN ATHENS Athens, GA 30601 United States",
,Atlanta,
,Atlanta,
The Cottage Vineyard & Winery,"The Cottage Vineyard & Winery 5050 U.S. 129 Cleveland, GA 30528 United States",
,Atlanta,
,Atlanta,
,Atlanta,
Chick-fil-A,"Chick-fil-A 816 Walnut Square Boulevard #Ste 59 Dalton, GA 30721 United States",
,Atlanta,
,Atlanta,
,Atlanta,
Jacksonville Community Center,"Jacksonville Community Center 501 Alexandria Rd SW # A Jacksonville, AL 36265 United States",Community center
Just Tap'd - Macon,"Just Tap'd - Macon 488 First St. Macon, GA 31201 United States",Gastropub
,Atlanta,Gastropub
Hubbard's Off Main,"Hubbard's Off Main 16 Choccolocco Street Oxford, AL 36203 United States",
Columbus Firefighter's Association,"Columbus Firefighter's Association 6655 Lynch Road Columbus, GA 31907 United States",Non-profit organization
,Atlanta,Non-profit organization
