name,address1,cate_gories
Chris' Caribbean Bistro,4479 S Cobb Dr,"Caribbean, Bars"
1920 Tavern,948 Canton St,"American (Traditional), Wine Bars"
Krush Restaurant  And Bar,3183 Main St,"Bars, Seafood, Chicken Shop"
Dave & Buster's,2215 Db Dr,"Bars, American (Traditional), Arcades"
Seaside Oyster Bar,3890 Lawrenceville-Suwanee Rd,"Seafood, Bars"
Mazzy's Sports Bar & Grill - Marietta,2217 Roswell Rd Ne,"Sports Bars, American (Traditional), Pool Halls"
Jack's Pizza & Wings,676 Highland Ave NE,"Pizza, Pubs, Chicken Wings"
Toco Grill,1658 Lavista Rd NE,"Middle Eastern, Kosher, Burgers"
Kirkyard Public House,1963 Hosea L Williams Dr SE,"American (New), Beer, Wine & Spirits, Sports Bars"
Octopus Bar,560 Gresham Ave,American (New)
Eclipse Di Luna,764 Miami Cir NE,"Tapas Bars, Spanish"
Guston's Grille,12195 Hwy 92,"American (Traditional), Sports Bars"
Guac y Margys,661 Auburn Ave NE,Cocktail Bars
Little 5 Corner Tavern,1174 Euclid Ave SE,"Bars, American (Traditional)"
Stem Wine Bar,1311 Johnson Ferry Rd,"American (New), Wine Bars, Tapas Bars"
"The Sun Dial Restaurant, Bar & View",210 Peachtree St NW,"American (New), Cocktail Bars"
Bottle Rocket Fine Food and Beverage,180 Walker St SW,"Sushi Bars, Japanese, Cocktail Bars"
SOHO Restaurant,4300 Paces Ferry Rd SE,"American (Traditional), Wine Bars, Seafood"
Andretti Indoor Karting & Games - Marietta,1255 Roswell Rd,"Arcades, Sports Bars, Bowling"
Century House,125 E Main St,"American (New), Cocktail Bars, Desserts"
Lingering Shade Social Club,660 Irwin St NE,Bars
Taco Mac Metropolis,933 Peachtree St NE,"American (Traditional), Sports Bars, Mexican"
Blue Moon Pizza,4600 W Village Pl,"Pizza, Sports Bars"
SuBourbon Bar & Social Club,2718 Summers St,"Cocktail Bars, Seafood, Music Venues"
Fade + Facet,3549 Peachtree Industrial Blvd,"Hookah Bars, Lounges"
The Juicy Crab East Point,3650 Marketplace Blvd,"Cajun/Creole, Seafood, Bars"
Steak Market,793 Juniper St NE,"Steakhouses, Speakeasies, Cigar Bars"
The Pointe,939 Railroad St NW,Pubs
Antica Posta Ristorante Toscano,519 E Paces Ferry Rd NE,Italian
Miller's Ale House - Alpharetta,10750 Davis Dr,"American (Traditional), Sports Bars"
Hop City Craft Beer and Wine,1000 White St SW,"Beer, Wine & Spirits"
Brewdog,112 Krog St NE,Beer Bar
Arches Brewing,3361 Dogwood Dr,Breweries
Torched Hop Brewing,249 Ponce De Leon Ave NE,"Gastropubs, Breweries, American (Traditional)"
The Brass Tap,4505 Ashford Dunwoody Rd,"Sports Bars, American (New), Beer Bar"
Cypress Street Pint & Plate,817 W Peachtree St NE,Gastropubs
Inner Voice Brewing,308 W Ponce De Leon Ave,Breweries
The Stout Brothers,1265 W Spring St,"Beer, Wine & Spirits, Beer Bar"
Pour Taproom Interlock,2 Interlock Ave,Beer Gardens
Georgia Beer Garden,420 Edgewood Ave NE,"Beer Gardens, Southern, Coffee & Tea"
Superica,3850 Roswell Rd NE,"Tex-Mex, Beer Bar, Mexican"
Mutation Brewing Company,5825 Roswell Rd NE,"Breweries, Bars, Venues & Event Spaces"
Irby's Tavern,322 East Paces Ferry Rd NE,"Sports Bars, Chicken Wings, American (Traditional)"
Coffee Bar Atlanta,1602 Lavista Rd NE,"Coffee & Tea, Wine Bars, Beer Bar"
Hop City Craft Beer and Wine,99 Krog St NE,"Beer, Wine & Spirits, Beer Bar"
Wrecking Bar Brewpub,292 Moreland Ave NE,"Brewpubs, American (New)"
New Realm Brewing,550 Somerset Ter NE,"American (New), Brewpubs"
The Beer Growler - Brookhaven,1418 Dresden Dr NE,"Beer, Wine & Spirits"
Tucker Brewing Company,2003 South Bibb Dr,"Beer Tours, Brewpubs"
Proper Hop Taphouse ,587 Atlanta St,Beer Bar
Variant Brewing,66 Norcross St,Breweries
Fire Maker Brewing,975 Chattahoochee Ave NW,Breweries
Bold Monk Brewing,1737 Ellsworth Industrial Blvd,"Brewpubs, Beer Gardens, Breakfast & Brunch"
The Tap On Ponce,675 Ponce De Leon Ave,"Beer Bar, Wine Bars"
Scofflaw Brewing,1738 Macarthur Blvd NW,Breweries
Monday Night Brewing,670 Trabert Ave NW,"Breweries, Tours"
Red's Beer Garden,1328 Blvd SE,"Hot Dogs, Beer Gardens, Venues & Event Spaces"
Brigantine Beer Parlor and Recreation Hall,470 Flat Shoals Ave SE,Bars
Terrapin Taproom,755 Battery Ave SE,"Barbeque, Bars"
SweetWater Brewing Company,195 Ottley Dr NE,"Breweries, Beer Tours, Venues & Event Spaces"
Bulla Gastrobar,60 11th St NE,"Spanish, Gastropubs, Tapas Bars"
Beer Girl Growlers & Bottleshop,587 N Central Ave,"Beer, Wine & Spirits"
Publik Draft House,654 Peachtree St NE,"Pubs, American (New)"
Reformation Brewery - Smyrna,6255 Riverview Rd,Breweries
Chicken+Beer,6000 N Terminal Pkwy,"Southern, Beer Bar, Comfort Food"
International Beverage,6035 Peachtree Rd,"Beer, Wine & Spirits"
Eventide Brewing,1015 Grant St,"Breweries, Venues & Event Spaces, Tours"
Outrun Brewing,5368 E Mountain St,Breweries
Hippin Hops Brewery,1308 Glenwood Ave SE,"Breweries, Seafood, Desserts"
Max Lager's Wood-Fired Grill & Brewery,320 Peachtree St NE,"American (Traditional), Brewpubs, Sports Bars"
Good Word Brewing & Public House,3085 Main St,"Brewpubs, American (New), Sandwiches"
Butcher & Brew,3 S Main St,"American (Traditional), Beer Bar, Gastropubs"
Argosy,470 Flat Shoals Ave SE,"Pizza, Gastropubs, Burgers"
Schoolhouse Brewing,840 Franklin Ct,Breweries
O2 Bar Totowa,3473 Old Norcross Rd,Beer Bar
Elsewhere Brewing,1039 Grant St SE,Breweries
Monks Meadery,579 N Highland Ave,"Wine Tasting Room, Beer Bar, Meaderies"
Hippin Hops,2380 Hosea L Williams Dr NE,Breweries
The Independent,931 Monroe Dr NE,"Bars, Pool Halls, American (Traditional)"
Halfway Crooks Beer,60 Georgia Ave SE,Breweries
Three Taverns Brewery,121 New St,Breweries
Atlantucky Brewing,170 Northside Dr SW,"Beer Bar, Breweries"
Midtown Market,225 10th St NE,"Convenience Stores, Beer, Wine & Spirits"
Mazzy's Sports Tavern - Duluth,3855 Venture Dr,"Sports Bars, American (Traditional), Sandwiches"
Gibney's Pub,231 Peachtree Center Ave NE,"Pubs, American (Traditional)"
Truck & Tap Woodstock,8640 Main St,"Food Trucks, Beer Bar"
H&F Bottle Shop,2357 Peachtree Rd,"Beer, Wine & Spirits"
Wild Heaven Beer West End Brewery & Gardens,1010 White St SW,"Breweries, Venues & Event Spaces, Beer Gardens"
Bantam Pub,737 Ralph Mcgill Blvd Ne,"American (New), Pubs, Breakfast & Brunch"
Bottle & Box,125 E Court Square,Beer Gardens
The Tap House,6015 Lynmark Way,"Beer, Wine & Spirits"
Moondog Growlers,5064 Nandina Ln,Beer Bar
Gate City Brewing Company,43 Magnolia St,Breweries
Pontoon Brewing,8601 Dunwoody Pl,Breweries
The Lost Druid,2866 Washington St,Breweries
Celtic Tavern,918 Commercial St NE,"Irish Pub, Music Venues, Sandwiches"
Six Bridges-Johns Creek,11455 Lakefield Dr,Breweries
StillFire Brewing,343 US 23,Breweries
The Lobby Bar,210 Peachtree St,Bars
Sugar Hill Distillery,1166 Church St,"Distilleries, Breweries"
Glover Park Brewery,65 Atlanta St SE,"Breweries, Venues & Event Spaces"
the Woodall,2260 Marietta Blvd NW,"Cocktail Bars, American (New), Seafood"
9 Mile Station,675 Ponce De Leon Ave,"Cocktail Bars, American (New)"
Stockyard Burgers and Bones,26 Mill St,"American (New), Beer, Wine & Spirits"
No Mas! Cantina,180 Walker St SW,"Mexican, Venues & Event Spaces, Cocktail Bars"
Taproom Coffee,1963 Hosea L Williams Dr,"Coffee & Tea, Beer Bar"
Blue Moon Pizza,325 E Paces Ferry Rd,"Pizza, Bars, Sandwiches"
From the Earth Brewing Company,1570 Holcomb Bridge Rd,"Gastropubs, Breweries, American (New)"
The King George Tavern,4511 Chamblee Dunwoody Rd,"Pubs, Burgers, Soup"
Howell's Kitchen and Bar,1962 Howell Mill Rd,"Pizza, American (New), Gastropubs"
Secreto Southern Kitchen & Bar,3575 Durden Dr NE,"Southern, Cocktail Bars"
Gather,519 Memorial Dr Se,"Bars, Sandwiches, Tapas/Small Plates"
The Village Corner,6655 James B Rivers Dr,"Bakeries, German, Bars"
Burnt Hickory Brewery,2260 Moon Station Ct,Breweries
Dr. Scofflaw's,214 Chattahoochee Row,Breweries
Corks & Caps,4600 Roswell Rd,"Beer, Wine & Spirits"
Iron Horse Tavern,29 Jones St SW,"American (Traditional), British, Pubs"
Thos O'Reilly's Public House,227 Sandy Springs Pl NE,"Irish Pub, Diners, Steakhouses"
The Euclid Avenue Yacht Club,1136 Euclid Ave NE,"Dive Bars, Burgers, Barbeque"
Steady Hand Beer,1611 Ellsworth Industrial Blvd,"Breweries, Venues & Event Spaces, Music Venues"
W XYZ Bar,300 Ted Turner Dr NW,"Tapas/Small Plates, Cocktail Bars"
Peachtree Growler,5450 Peachtree Pkwy,"Beer, Wine & Spirits"
Deep Roots Wine Market & Tasting Room,1055 Canton St,"Wine Tasting Room, Beer, Wine & Spirits, Venues & Event Spaces"
Righteous Room,1051 Ponce De Leon Ave NE,"American (Traditional), Bars"
Truck & Tap -  Alpharetta,30 Milton Ave,"Food Trucks, Beer Bar"
Georgia World of Beverage,8455 Senoia Rd,"Beer, Wine & Spirits"
The Lincoln Fill Station,2280 Henry Clower Blvd,"Beer, Wine & Spirits"
Volare Bistro,603 N Central Ave,"Wine Bars, Mediterranean"
Barleygarden Kitchen - Alpharetta,900 Avalon Blvd,"Beer Bar, Sandwiches, Burgers"
Johnnie MacCrackens Celtic Pub,15 Atlanta St SE,Pubs
Candler Rail Brewery & Taqueria,1660 Dekalb Ave,Breweries
Kettlerock Brewing,6025 Peachtree Pkwy,Breweries
Dantanna's,3400 Around Lenox Rd NE,"Sports Bars, Steakhouses, Seafood"
Contrast Artisan Ales,5504 Peachtree Rd,Brewpubs
Bob & Harriet’s Home Bar,1992 Hosea Williams Dr,"Gastropubs, Breakfast & Brunch"
Hopdoddy Burger Bar,2470 Briarcliff Road,"Burgers, Cocktail Bars"
Jekyll Brewing City Center,15 Academy St,Breweries
Saltwood Charcuterie & Bar,1065 Peachtree St NE,"Bars, Tapas/Small Plates, American (Traditional)"
The Family Dog,1402 N Highland Ave NE,"American (New), Bars, Tapas/Small Plates"
Sceptre Brewing Arts,630 East Lake Dr,Brewpubs
Blue Goose Bar & Kitchen,1776 Harvard Ave,"Bars, Restaurants"
Pinkies Up,30 East Crossville Rd,"Beer Bar, Wine Bars"
Latitudes Bistro & Lounge,100 Cnn Ctr NW,"Lounges, Burgers"
El Super Pan The Battery Atlanta,455 Legends Pl,"Latin American, Sandwiches, Bars"
Pin & Proper,1039 Grant St SE,"Bars, American (Traditional), Bowling"
Pijiu Belly,678 10th St NW,"Burgers, Pubs, Asian Fusion"
Terrapin Tap House,6000 N Terminal Pkwy,"Beer Bar, Sandwiches, Breakfast & Brunch"
Brockett Pub House & Grill,4522 East Ponce De Leon Ave,"American (Traditional), Pubs"
The Lawrence,905 Juniper St NE,"American (New), Cocktail Bars, Breakfast & Brunch"
Varuni Napoli,1540 Monroe Dr NE,"Pizza, Wine Bars, Beer Bar"
Lean Draft House,600 Hopkins St SW,"Bars, Tacos"
Barleygarden - Fayetteville,240 J Arthur Rank Ave,"Beer Bar, American (Traditional), Wine Bars"
Wunderbar Bierhaus & Euro Bistro,1166 Church St,"German, Breakfast & Brunch, Distilleries"
The Springs Cinema & Taphouse,5920 Roswell Rd,"Cinema, American (Traditional), Bars"
Reformation Brewery - Woodstock,105 Elm St,"Breweries, Beer Gardens, Beer Bar"
Round Trip Brewing,1279 Seaboard Industrial Blvd NW,Breweries
Monday Night Brewing - Garage,933 Lee St SW,"Breweries, Venues & Event Spaces"
Kurt's Euro Bistro,3305 Peachtree Industrial Blvd,"Modern European, German, Steakhouses"
Biggerstaff Brewing Company,537 Edgewood Ave SE,"Brewpubs, Sandwiches, Coffee & Tea"
High Card Brewing,2316 Main St,"Breweries, Beer Bar"
Burn By Rocky Patel,900 Battery Ave SE,"Cigar Bars, Lounges, Cocktail Bars"
Southern Culinary Tours,3535 Peachtree Rd NE,Beer Tours
Dry County Brewing Company,1500 Lockhart Dr,Breweries
Porter Brew & Que Brewery,5486 Chamblee Dunwoody Rd,"Barbeque, Breweries"
Stone Mountain Public House Cigar & Piano Bistro,947 Main St,"Cafes, Cigar Bars, Piano Bars"
Red Hare Brewing & Distilling,1998 Delk Industrial Blvd,"Breweries, Distilleries, Beer Tours"
Poor Hendrix,2371 Hosea L Williams Dr NE,"American (New), Bars, Tapas/Small Plates"
Girl Diver,955 Memorial Dr SE,"Vietnamese, Cocktail Bars, Seafood"
Witch Hunt,3505 Gwinnett Pl Dr NW,"Korean, Bars"
Cultivation Brewery,650 Langford Dr NW,"Breweries, Beer Bar"
Boggs Social & Supply,1310 White St SW,"Bars, Food Trucks, Breakfast & Brunch"
Atlas,88 W Paces Ferry Rd NW,"American (New), Cocktail Bars"
Marlow's Tavern,950 W Peachtree St NW,"American (New), Gastropubs, Burgers"
Blackbird Farms Brewery,4098 Lawrenceville Hwy,Breweries
VinoTeca,299 N Highland Ave NE,"Wine Bars, Wine Tasting Room, Gift Shops"
Casi Cielo,6125 Roswell Rd,"Cocktail Bars, Mexican, Tapas/Small Plates"
Aisle 5,1123 Euclid Ave NE,"Bars, Music Venues"
Jekyll Brewing,2855 Marconi Dr,Breweries
Cherry Street Brewpub at Halcyon,6640 Town Sq,Brewpubs
Public House 28,2030 Bolton Rd NW,"Wine Bars, American (Traditional), Chicken Wings"
Wonderkid,777 Memorial Dr,"Diners, Desserts, Cocktail Bars"
Sabbath Brewing,530 Flat Shoals Ave SE,Breweries
Tom Dick and Hank,3807 Main St,"Barbeque, American (Traditional), Cocktail Bars"
Parkside District Seafood & Meats,909 Parkside Walk Ln,"Seafood, American (New), Bars"
Miracle on Monroe,931 Monroe Dr,Cocktail Bars
Social Fox Brewing,20 Skin Aly,"Brewpubs, Beer Bar"
Cochran Mill Brewing,27 Word St,Breweries
Garden & Gun Club,2605 Circle 75 Pkwy,"Southern, American (New), Cocktail Bars"
Xfinity Rooftop Lounge,755 Battery Ave SE,Lounges
Indio Brewing,5019 W Broad St NE,Breweries
Dabomb Sports Grill,2912 Evans Mill Rd,"Sports Bars, American (Traditional), Chicken Wings"
Sage Woodfire Tavern Perimeter,4505 Ashford Dunwoody Rd,"American (New), Bars"
Red Hare Brewing & Distilling,29 W Park Sq,"Breweries, Cuban, Distilleries"
Bar Vegan,675 Ponce De Leon Ave,Bars
Daddy O'Brien's Irish Ice Cream Pub,5910 Suwanee Dam Rd,"Ice Cream & Frozen Yogurt, Irish Pub, Sandwiches"
Divan Restaurant & Bar,87 15th St,"Hookah Bars, Persian/Iranian"
Punch Bowl Social Atlanta,875 Battery Ave,"Gastropubs, Eatertainment, Breakfast & Brunch"
Fúdo,5070 Peachtree Blvd,"Asian Fusion, Sushi Bars, Bars"
Crazy Atlanta,182 Courtland St NE,"Pizza, Bars, Tapas/Small Plates"
Roswell Beer Market by The Stout Brothers,1186 Canton St,Beer Bar
Zona Caribbean Restaurant Bar & Grill,4181 Steve Reynolds Blvd,"Caribbean, Bars"
Ormsbys,1170 Howell Mill Rd NW,"Sandwiches, Beer Bar, Whiskey Bars"
Tubby's Tavern,2123 Fairburn Rd,Pubs
The Outpost At Honey Creek,3571 Hwy 20 SE,"Bars, American (Traditional), Karaoke"
Pure Taqueria,1143 Alpharetta St,"Bars, Mexican"
Parkside Kitchen and Cocktails,1039 Grant St SE,"American (New), Mediterranean, Cocktail Bars"
Second Self Beer Company,1317 Logan Cir NW,"Breweries, Venues & Event Spaces"
The Stratford,17 N Avondale Rd,"Pubs, American (Traditional), Burgers"
Vaughan Estate Sales and Appraisals,,"Estate Liquidation, Appraisal Services, Real Estate Services"
LT Printing & Promotion,1201 W Peachtree St,"Advertising, Marketing"
Word of Life Books,2550 Pleasant Hill Rd,Bookstores
Archer Paper Goods,675 Ponce De Leon Ave NE,"Cards & Stationery, Office Equipment"
Blue Sky Agency,950 Lowery Blvd,Advertising
Book Nook,3073 N Druid Hills Rd,"Bookstores, Music & DVDs, Comic Books"
Books For Africa,1491 Cobb Industrial Dr,Bookstores
JJ Hauling & Demolition,595 Creekwood Xing,Demolition Services
Docqmax Digital Printing,689 11th St NW,"Printing Services, Professional Services"
Atlanta Vintage Books,3660 Clairmont Rd,Bookstores
Craig Miller Productions,1491 Northside Dr NW,Video/Film Production
RG Staffing Resources,,Employment Agencies
"The Beth B Moore Law Firm, LLC",3006 Clairmont Rd,Lawyers
Ledgent Finance & Accounting,1 Concourse Pkwy,"Employment Agencies, Career Counseling, Business Consulting"
Phoenix and Dragon Bookstore,5531 Roswell Rd NE,"Bookstores, Spiritual Shop, Herbs & Spices"
Fantasyland Records,360 Pharr Rd NE,"Music & DVDs, Vinyl Records"
Eagle Eye Book Shop,2076 N Decatur Rd,Bookstores
MRS Restoration,1741 Mccoba Dr SE,Damage Restoration
Dexworks Repairs and Handyman Services,,Electricians
Salt Factory Pub,952 Canton St,"American (New), Gastropubs"
Very Good Home Inspections,341 Lawrence St NE,"Home Inspectors, Structural Engineers, Waterproofing"
Ciot Slab Gallery,2301 Defoor Hills Rd NW,Building Supplies
Atlanta Dog Wizard,,Pet Training
Videodrome,617 N Highland Ave NE,Music & DVDs
Dr. Bombay's Underwater Tea Party,1645 Mclendon Ave NE,"Tea Rooms, Coffee & Tea, Bakeries"
Professional Bartending School,3754 Buford Hwy NE,Bartending Schools
Porter Pizza and Brewery Gastropub,6370 Powers Ferry Rd,"Brewpubs, Pizza"
Daniel D Munster PC,5855 Sandy Springs Cir NE,Estate Planning Law
Gordon Biersch,6000 N Terminal Pkwy,"Breweries, American (New)"
Meck Organizing,,Home Organization
A Cappella Books,208 Haralson Ave NE,Bookstores
Kozycki Law,3546 Habersham At Northlake Rd,"Immigration Law, DUI Law, Criminal Defense Law"
Johns Creek Arts Center,6290 Abbotts Bridge Rd,"Art Schools, Art Galleries, Summer Camps"
Eight At Eight Dinner Club,3102 Roswell Rd NE,Matchmakers
Fabricate Studios,1537-B Howell Mill Rd,Art Classes
Ivy Tea House,23 Holcomb Bridge Rd,"Tea Rooms, Desserts, Venues & Event Spaces"
Bring Delight - Atlanta Home Organization,,Home Organization
Highland Row Antiques,628 N Highland Ave NE,"Antiques, Lighting Fixtures & Equipment, Vinyl Records"
PowderPuff Maids,,Home Cleaning
NT Security,,Security Systems
Relax The Back,3330 Piedmont Rd NE,"Furniture Stores, Office Equipment"
Rasmus Real Estate Group,3101 Cobb Pkwy,Real Estate Services
"Henningsen Injury Attorneys, PC",5855 Sandy Springs Cir,"Personal Injury Law, Workers Compensation Law"
Urban Tree Cidery,1465 Howell Mill Rd NW,"Wine Tasting Room, Cideries, Wine Bars"
Party City,2900 Peachtree Rd NW,"Party Supplies, Cards & Stationery, Costumes"
Spelman College,350 Spelman Ln SW,Colleges & Universities
New Tricks,130 A Krog St,Web Design
Tree Cowboy,925B Peachtree St NE,Tree Services
Half Price Books,2615 N Decatur Rd,"Books, Mags, Music & Video"
Tall Tales Book Shop,2105 Lavista Rd NE,Bookstores
Happy Tree Organizing,2048 Lawrenceville Hwy,Home Organization
The Southern Gentleman,3035 Peachtree Rd NE,"Gastropubs, Southern, American (New)"
The Bryant at Buckhead Village,400 Pharr Rd NE,Apartments
Records Galore,4148 E Ponce De Leon Ave,"Music & DVDs, Vinyl Records"
The Garage Dude,707 Cheswich Overlook SE,"General Contractors, Home Organization"
First Investors,380 Interstate North Pkwy SE,Employment Agencies
Building Knowledge Inspection by Cingo,8300 Dunwoody Pl,Home Inspectors
Salt Factory Pub,102 S Main St,Gastropubs
Orchardly,3372 Peachtree Rd,Real Estate Services
"International School of Skin, Nailcare & Massage Therapy",7840 Roswell Rd,"Massage Schools, Skin Care, Waxing"
Home-Probe,315 W Ponce De Leon Ave,Home Inspectors
Ella Guru Record Shop,2747 Lavista Rd,Vinyl Records
Advantage Garage Doors,,Garage Door Services
LoadUp,280 Interstate N Cir SE,"Junk Removal & Hauling, Furniture Assembly"
BookLogix,1264 Old Alpharetta Rd,"Print Media, Printing Services, Bookbinding"
Tidied by K,,Home Organization
Renters Warehouse,695 Pylant St,Property Management
Curb Appeal Exteriors,3185 Waters Mill Dr,Roofing
Love Street,1275 Concord Rd,Gift Shops
Creme de la Creme,4785 Peachtree Corners Cir,"Child Care & Day Care, Preschools"
Kobalt Inspections,4780 Ashford Dunwoody Rd,"Home Inspectors, Environmental Testing"
The Weinstein Firm,5299 Roswell Rd,"Personal Injury Law, Medical Law, Workers Compensation Law"
Atlanta Fulton Public Library,400 Formwalt St SW,Libraries
Parthenon Home Improvement & Roofing,303 Perimeter Ctr N,"Roofing, Siding, Gutter Services"
Criminal Records,1154-A Euclid Ave NE,"Comic Books, Music & DVDs, Vinyl Records"
Lawson & Son Electric,,"Electricians, Lighting Fixtures & Equipment, Generator Installation/Repair"
Dana Inspection Services,,Home Inspectors
"Casteel Heating, Cooling, Plumbing & Electrical",2218 Canton Rd,"Heating & Air Conditioning/HVAC, Plumbing, Electricians"
A Plus Priority Plumbing,,"Plumbing, Water Heater Installation/Repair, Hydro-jetting"
Frugal Kitchens & Cabinets,2855 N Druid Hills Rd,"Cabinetry, Kitchen & Bath"
Marlow's Tavern,3575 Durden Dr NE,"Burgers, Gastropubs, American (New)"
Andrew Walters,,"Handyman, Decks & Railing"
Zone Home Solutions,4575 Angelo Dr NE,"Pest Control, Heating & Air Conditioning/HVAC"
Lawn Squad,606 Lexington Way,"Lawn Services, Landscape Architects or Designers, General Contractors"
Atlanta Matchmakers,750 Hammond Dr,Matchmakers
Mathnasium,1165 Woodstock Rd,Tutoring Centers
MATRIX Resources,400 Perimeter Center Ter,"Employment Agencies, Career Counseling"
City of Atlanta,55 Trinity Ave SW,"Municipality, Childbirth Education, Counseling & Mental Health"
Brownlow & Sons Co Inc,1654 Roswell Rd,"General Contractors, Painters, Roofing"
Book Nook II,4664 Lawrenceville Hwy NW,"Comic Books, Bookstores, Music & DVDs"
Ja Biztown & Financial Park,Old Norcross Rd,"Specialty Schools, Middle Schools & High Schools"
Honey Bubble,798 Ponce De Leon Ave NE,"Bubble Tea, Coffee & Tea, Macarons"
Haigwood Studios,565 S Atlanta St,"Session Photography, Video/Film Production"
Trow Inspection Service,,Home Inspectors
Grace Cleaning Services,2724 Wesley Chapel Rd,"Home Cleaning, Carpet Cleaning, Office Cleaning"
Simply Green Lawn Care,1323 Turner Rd,"Lawn Services, Tree Services"
Napoleon's,2836 LaVista Rd,"Gastropubs, American (New), Music Venues"
Spaulding Decon - Alpharetta,380 Winkler Dr,"Damage Restoration, Environmental Abatement, Hazardous Waste Disposal"
Fermented,50 Canton St,"Wine Tasting Classes, Beer, Wine & Spirits, Wine Tasting Room"
LunsPro Home Inspections,5174 McGinnis Ferry Rd,Home Inspectors
Purofirst of Gwinnett,3655 Hewatt Ct,"Damage Restoration, General Contractors"
Glass Inc.,510 Glen Iris Dr NE,"Auto Glass Services, Glass & Mirrors, Painters"
All Stars Performing Arts Academy,5700 Cumming Hwy,"Performing Arts, Dance Schools"
Seize Local Inc. Lawrenceville GA,1950 Riverside Pkwy,"Marketing, Advertising"
Book Nook,1547 Roswell Rd,"Bookstores, Music & DVDs, Video Game Stores"
"The Law Office of Judy Kim, PC",3500 Lenox Rd NE,Criminal Defense Law
Hi-Definition Landscape,6147 Bellewood Ash Ln,Landscaping
Flats at Perimeter Place,60 Perimeter Center Pl,Apartments
Blick Art Materials,1165 Woodstock Rd,"Art Supplies, Hobby Shops, Framing"
2nd & Charles,815 Ernest W Barrett Pkwy,Bookstores
Clarkston High School,618 N Indian Creek Dr,Middle Schools & High Schools
Fulton Services,2331 Adams Dr NW,"Plumbing, Heating & Air Conditioning/HVAC"
Camden Phipps Apartments,700 Phipps Blvd NE,Apartments
Kenny T's,217 Walker St SW,"Graphic Design, Screen Printing/T-Shirt Printing, Customized Merchandise"
Life Time,5600 Roswell Rd,"Gyms, Trainers, Sports Clubs"
A Small Orange Software,650 Hamilton Ave SE,Web Design
EarthLink,,Internet Service Providers
Wilson Air Conditioning Service,4011 Lawler Dr,Heating & Air Conditioning/HVAC
Mr. Roofer of Atlanta,3500 Lenox Rd,"Roofing, General Contractors"
Safe Solutions,560 Oak Landing Dr,Keys & Locksmiths
Petco,5938 Roswell Rd NE,"Pet Stores, Pet Training, Pet Groomers"
Rosemont Chamblee,3311 Flowers Rd S,Apartments
Icon Buckhead,3372 Peachtree Rd NE,"Apartments, Property Management"
Allview Home Inspections,5174 Mcginnis Ferry Rd,Home Inspectors
Batylin Plumbing,,"Plumbing, Water Heater Installation/Repair"
Majestic Plumbing & Electric,1634 Atlanta Rd SE,"Plumbing, Electricians, Water Heater Installation/Repair"
Garage Door Repair Powder Springs,3705 New Macland Rd,Garage Door Services
Fish Window Cleaning,3365 W Hospital Ave,"Window Washing, Gutter Services, Pressure Washers"
Hogan Institute of Cosmetology & Esthetics,495 Indian Trail Rd,Cosmetology Schools
"Allgood Plumbing, Electric, Heating & Cooling",3781 Presidential Pkwy,"Plumbing, Electricians, Heating & Air Conditioning/HVAC"
Water for Life,,Water Purification Services
The Container Store,2740 Old Milton Pkwy,"Interior Design, Home Organization, Home & Garden"
All Pro Carpet ATL,4929 Lake Colony Dr,Carpet Cleaning
T&M Asphalt Seal Coating,,General Contractors
Hobby Lobby,4715A Ashford Dunwoody Rd,"Framing, Hobby Shops, Gift Shops"
Marlow's Tavern,1311 Johnson Ferry Rd,"American (New), Burgers, Gastropubs"
Marlow's Tavern,1317 Dunwoody Village Pkwy,"American (New), Gastropubs, Burgers"
Xfinity Store by Comcast,699 Ponce De Leon,"Internet Service Providers, Television Service Providers, Security Systems"
Marlow's Tavern,3719 Old Alabama Rd,"American (New), Burgers, Gastropubs"
National Garage Door of Atlanta,1600 Atkinson Rd NW,Garage Door Services
The Cobb County Water Department,660 S Cobb Dr,Utilities
United Air Temp,,Heating & Air Conditioning/HVAC
Hobby Lobby,1355 E W Connector,"Art Supplies, Hobby Shops, Home Decor"
Marlow's Tavern,410 Peachtree Pkwy,"American (New), Burgers, Gastropubs"
The Goddard School,3115 Parkbrooke Cir,"Preschools, Child Care & Day Care, Summer Camps"
Renewal by Andersen,2725 Northwoods Pkwy,"Windows Installation, Door Sales/Installation"
Levantina,2499 Newpoint Pkwy,Countertop Installation
AC White Relocations - Agent for United Van Lines,1775 Founders Pkwy,"Movers, Self Storage, Packing Services"
Dr. Roof,88 Mansell Ct,"Roofing, Gutter Services, Siding"
Barnes & Noble,410 Peachtree Pkwy,Bookstores
America First Choice Home Club,1343 Canton Rd,Real Estate Services
The Regency At Johns Creek Walk,11134 Medlock Bridge Rd,Apartments
Carnes Zack & Associates CPA Cfp,2851 Cobb Pkwy NW,Accountants
Weed Man,1213 Canton St,Lawn Services
Promenade at Berkeley,3750 Peachtree Industrial Blvd,Apartments
Petco,2131 Pleasant Hill Rd,"Pet Training, Pet Groomers, Pet Stores"
Aqua-Tots Swim Schools Kennesaw,2655 Cobb Pkwy NW,Swimming Lessons/Schools
Life Time,855 North Point Pkwy,"Gyms, Trainers, Sports Clubs"
Hobby Lobby Creative Centers,939A Glynn St N,"Fabric Stores, Art Supplies"
"Reliable Heating & Air, Plumbing & Electrical",1305 Chastain Rd NW,"Heating & Air Conditioning/HVAC, Electricians, Plumbing"
